key=of   value=2526
key=tobacco-smoke.   value=1
key=song--   value=1
key=fancy;   value=1
key=praise   value=1
key=Nancy,   value=1
key=mate   value=34
key=King--   value=1
key=tooral-i-lay!_   value=4
key=_Old   value=2
key=Universe   value=1
key=round;   value=1
key=helpmate   value=2
key=food   value=3
key=wanting,   value=1
key=horses   value=9
key=hunting,   value=1
key=sung   value=2
key=pipestem   value=1
key=chorus   value=2
key=straddling   value=1
key=held   value=23
key=shoulder   value=8
key=fate   value=4
key=varmint,   value=1
key=bird   value=2
key=bath--   value=1
key=natur'   value=1
key=all-wise   value=1
key=Creaytor   value=1
key=wanted   value=12
key=heartier   value=1
key=chorus,"   value=1
key=slumber,   value=1
key=beyeld   value=1
key=_With_   value=1
key=tooral--why,   value=1
key=whatever's   value=2
key=all?   value=2
key=melancholy   value=2
key=passel   value=2
key=gib-cats."   value=1
key=[And   value=1
key=slewed   value=3
key=door.]   value=1
key=forced   value=26
key=suppose,   value=4
key=cried.   value=2
key=landlord   value=2
key=hushed   value=1
key=quake.   value=1
key=ahead,   value=7
key=two.   value=4
key="'With   value=1
key=sulky.   value=1
key=here's   value=6
key=women:   value=1
key=astonished   value=2
key=Sarah--I   value=1
key=young,   value=1
key=middle-aged,   value=1
key=men:   value=1
key=knowledge:   value=2
key=passes   value=4
key=found.   value=2
key=her:   value=2
key=making   value=23
key=randigal   value=1
key=Sarah"--here   value=1
key=command--"you'll   value=1
key=walk   value=3
key=straight."   value=1
key=firm   value=2
key=song   value=4
key=gazèd   value=1
key=blessèd   value=1
key=bestowed   value=1
key=friends,   value=3
key=chorus!"   value=1
key=ri-tooralled   value=1
key=eyebrows   value=1
key=_She   value=1
key=o'er   value=1
key=man;   value=6
key=upon._   value=1
key=that?"   value=4
key="Get   value=5
key=ninth-part-of-a-man!   value=1
key=_Me_   value=1
key=_your_   value=2
key=side!"   value=1
key=may,   value=1
key=discussing   value=4
key=facing   value=4
key=hop,   value=1
key=thought,   value=4
key=Evil   value=1
key=communications   value=1
key=manners,   value=1
key=mischief's   value=1
key=resolved   value=1
key='ee.   value=2
key=how?   value=1
key=chalk,   value=1
key=school   value=1
key=nowadays."   value=1
key=ale-scores   value=1
key=marks,   value=1
key=remark   value=2
key="Mr.   value=2
key=creation   value=3
key=drink.   value=2
key=write,   value=2
key=Landlord   value=6
key=flourish   value=2
key=wrote,   value=1
key=dictating,--   value=1
key=hereby   value=1
key=five   value=16
key=miles--and   value=1
key=off--pulling   value=1
key=single   value=7
key=oars   value=3
key=ran-dan--the   value=1
key=stakes   value=5
key=aside.   value=2
key=promise,   value=1
key=signed   value=3
key=bold   value=3
key=fair   value=7
key=scholar.   value=1
key="put   value=1
key=You'll   value=3
key=tricks!"   value=1
key=earnest;   value=1
key=braggadoshy;   value=1
key=later,   value=9
key=highwater,   value=1
key=happened   value=9
key=idling   value=1
key=Quay   value=3
key=slip   value=8
key=gig,   value=4
key=paint.   value=1
key=lain   value=1
key=shed   value=2
key=couple   value=16
key=_Indefatigable   value=8
key=Woman_   value=5
key=see.   value=5
key=deal   value=3
key=laughing   value=4
key=treating   value=4
key=affair   value=3
key=grin,"   value=1
key=trying   value=10
key=females,   value=2
key="French-built,   value=1
key=gate,"   value=1
key=leak   value=1
key=patched,   value=1
key=condemning   value=1
key="All   value=4
key=race   value=9
key=tub.   value=1
key=She've   value=1
key=do--she'll   value=1
key=borrow   value=3
key=war-ships.   value=1
key=same."   value=2
key="Granted   value=1
key=can,   value=3
key=manned--or   value=1
key=reserves   value=1
key=boat's   value=2
key='em"--he   value=1
key=Pengelly--"mothers   value=1
key=families."   value=1
key=thwart   value=2
key=Seth   value=10
key=Ede,   value=6
key=prizes   value=1
key=coast:   value=1
key=ago.   value=4
key=Retallack,   value=3
key=farmed   value=1
key=Regatta-day:   value=1
key=Thwart   value=1
key=whackin'   value=1
key=Tremenjous   value=4
key=useful   value=1
key=waist.   value=1
key=creaming   value=1
key=Then   value=18
key=Jago   value=3
key=Preventive   value=2
key=tricky   value=1
key="a   value=4
key=angle-twitch   value=1
key=company;   value=1
key=ends   value=4
key='en,   value=2
key=5,   value=87
key=dispute,   value=1
key=Tippet   value=2
key=Harry,   value=2
key=boat-builder   value=1
key=double-sculling,   value=1
key=Nos.   value=1
key=settled,   value=1
key=offering   value=8
key=properly   value=7
key=Joe,   value=2
key=2:   value=2
key=likely   value=8
key=1:   value=1
key=popped   value=2
key=bar-parlour--'twas   value=1
key=churchwarden   value=1
key=sealing-wax--and   value=1
key=matter   value=18
key="Restin',"   value=1
key=recoverin'   value=1
key=strength."   value=1
key=side,"   value=1
key=five-pound   value=1
key=missus--take   value=1
key=challenge,   value=3
key=better."   value=1
key=stakes."   value=1
key=while,   value=7
key=loan   value=3
key=galley   value=1
key=Water-Guard,   value=2
key=unlocked   value=1
key=pocketed   value=1
key=peg.   value=1
key='twouldn't   value=1
key="Folks   value=1
key=back-parlour   value=1
key=cheesemongering,   value=1
key=chose.   value=1
key=woke   value=4
key=politely   value=1
key=attend   value=7
key=stakes,"   value=1
key=lor'   value=1
key=Oke!--if   value=1
key=win,   value=11
key=_me_   value=2
key=wife--"has   value=1
key=able   value=40
key=crow   value=4
key=beat?"   value=1
key=Sal.   value=2
key="Tut-tut!"   value=1
key=Mayor.   value=1
key="They've   value=1
key=booked   value=2
key=stroke."   value=1
key=Oke.   value=1
key=oughtn't   value=1
key=worst,   value=2
key=bad:   value=1
key=higgling   value=1
key=bit,   value=3
key=conditions   value=4
key=course   value=32
key=miles:   value=1
key=nearabouts   value=1
key=lays   value=1
key=somewheres   value=2
key=finish   value=4
key=twitter,   value=1
key=first-along,   value=2
key=card   value=5
key=back--he   value=1
key=hisself.   value=1
key=easy."   value=1
key=Rablin   value=1
key=beer   value=2
key=thing:   value=1
key=Hosken   value=3
key=th'art."   value=1
key=thirty-eight   value=1
key=stroke   value=8
key=under.   value=1
key=times.   value=1
key=envy   value=1
key=Pomery's   value=1
key=it's   value=11
key=new,   value=2
key=She'll   value=2
key=drag   value=3
key=still,   value=3
key=fleet.   value=1
key=_feel_   value=1
key=eye:   value=1
key=treat.   value=1
key=boats.   value=1
key=dears,   value=2
key=ever!"   value=2
key=man.   value=14
key=clipping   value=1
key=opposition   value=9
key=_Nonpareil_--and   value=1
key=oar--another   value=1
key=Mick   value=1
key=nation   value=1
key=Irish,   value=1
key=complaint,   value=1
key=however:   value=1
key=advantage,   value=9
key=was:   value=1
key="Saltash   value=1
key=dears;   value=1
key=maintain   value=4
key=improved   value=1
key=chap   value=1
key=entered.   value=1
key=spread   value=6
key=Callington   value=1
key=Crowds   value=2
key=sometimes,   value=1
key=another,   value=5
key=reputation   value=1
key=wag,   value=1
key=odds   value=2
key=chaff.   value=1
key=deadly   value=2
key=earnest,   value=1
key=daresay,   value=2
key=defeat   value=2
key=dressed.   value=1
key=inclined   value=3
key=overdo   value=1
key=Jack   value=4
key=Tar's,   value=1
key=fairly   value=11
key=upstairs   value=10
key=tarpaulin-hat,   value=1
key=sightseers   value=1
key=hundreds   value=4
key=dress.   value=1
key=weights,   value=1
key=less--   value=1
key=Bow,   value=2
key=eleven   value=5
key=stone;   value=2
key=2,   value=45
key=ditto;   value=1
key=4,   value=110
key=Eliza,   value=2
key=thirteen   value=4
key=twelve   value=7
key=stone,   value=1
key=ribs   value=3
key=shoulders;   value=1
key=Hancock,   value=2
key=fourth   value=6
key=daughter   value=2
key=weight   value=3
key=stone.   value=2
key=blue   value=6
key=handkerchiefs.   value=1
key=_Nonpareil_:   value=1
key=M.   value=2
key=Guppy,   value=1
key=ten;   value=1
key=eight;   value=1
key=six.   value=1
key=steered.   value=1
key=red,   value=2
key=jerseys,   value=1
key=clear,   value=3
key=heaves   value=1
key=spectators   value=2
key=money.   value=5
key=strokes,   value=2
key=thirty-four,   value=1
key=reaching   value=11
key=blades   value=2
key=finish--coming   value=1
key=stiffish   value=1
key=breeze   value=2
key=yards.   value=1
key=mile   value=6
key=Having   value=9
key=slowed   value=1
key=rate   value=3
key=striking   value=3
key=mistake.   value=6
key=giant,   value=1
key=flurried   value=1
key=slower   value=1
key=yet--dropped   value=1
key=thirty-five,   value=1
key=justice,   value=2
key=bucketting   value=1
key=discontent   value=1
key=again;   value=1
key=strength   value=13
key=somehow,   value=1
key=travelled.   value=1
key=creeping   value=3
key=quickening   value=1
key=watches.   value=1
key=saying   value=2
key=over--   value=1
key=about_   value=1
key=mark   value=7
key=knocking   value=5
key=moorhen.   value=1
key=groaning   value=1
key=markboat   value=1
key=homeward   value=1
key=eighteen-stone   value=1
key=passenger,   value=1
key=lively   value=2
key=bow,   value=1
key=pluck.   value=1
key=spared   value=2
key=snake,   value=1
key=Irishman   value=1
key=said--   value=1
key=Heaven   value=3
key=leddies,   value=1
key=anyway!"   value=1
key=rowing   value=4
key=boat!"   value=1
key=rivals   value=1
key=band   value=1
key=quicken!"--and   value=1
key=toss   value=1
key=rowed,   value=1
key=sobs   value=2
key=jeered   value=1
key=whole,   value=2
key=neat   value=4
key=Tailor   value=1
key=ugliness   value=1
key=uncharitableness   value=1
key=interruption   value=1
key=trade,   value=1
key=idleness   value=1
key=folly.   value=3
key=toil   value=1
key=half-an-hour   value=5
key=way:   value=3
key=workshop   value=1
key=cross-legged   value=1
key=solemn   value=1
key=waistcoat,   value=2
key=asked.   value=4
key=hollow   value=3
key=house--and   value=1
key=home--go   value=1
key=rack   value=1
key=ruin   value=3
key=effort   value=3
key=Day,   value=1
key="Has   value=1
key=Smithers   value=1
key=Lord,"   value=1
key=piously,   value=1
key=wagering   value=1
key=boat-races   value=1
key=disgrace   value=1
key=heads:   value=2
key=expect,"   value=1
key=cough.   value=1
key=morning;   value=1
key=stitches   value=1
key=Sailor's   value=8
key=Return   value=2
key=Hockaday   value=1
key=walls:   value=1
key=actions,   value=1
key="Man   value=1
key=alive,   value=4
key=Day!   value=1
key=supper   value=4
key="Supper!   value=1
key=You've   value=3
key=Return?"   value=1
key=Dragon's   value=1
key=boiled   value=1
key=mutton   value=1
key="Settin'   value=1
key=yourselves   value=2
key=s'pose?"   value=1
key=sneered.   value=1
key="Not   value=5
key=speeches."   value=1
key=kitchen,   value=1
key=dish   value=2
key=tea.   value=2
key=kindly   value=2
key=everybody,   value=1
key=really   value=7
key=wished   value=2
key=chat   value=2
key=joke   value=3
key=credit   value=8
key=saved,   value=1
key=fenced   value=1
key=stitched   value=2
key=cider,   value=3
key=strolled   value=1
key=stitching.   value=1
key=jugful   value=1
key=himself:   value=2
key=mood   value=2
key=hurt   value=5
key=sake   value=5
key=grievance.   value=1
key=fly-by-night   value=1
key=gallivantin'   value=1
key=she'll   value=3
key=injured,   value=1
key=mortal   value=1
key=by-and-by,   value=2
key=hurdy-gurdies,   value=1
key=waterside,   value=1
key=bull   value=1
key=animal   value=1
key=loose,   value=1
key=hopped   value=1
key=peeked   value=1
key=cautious-like.   value=1
key=does   value=35
key=sailor-men   value=1
key=Of   value=15
key=press-gang   value=4
key=Sound,   value=1
key=choosing   value=2
key=raid   value=2
key=landed   value=4
key=hill   value=6
key=They'd   value=1
key=fist   value=2
key=start;   value=1
key=gait   value=1
key=plenty   value=3
key=liquor   value=1
key=peeped   value=1
key=midshipman--came   value=1
key=swearing   value=1
key=by--   value=2
key="Beg   value=2
key="You'd   value=2
key=officer.   value=1
key="These   value=1
key=shirts   value=1
key=liable   value=1
key=mistakes   value=4
key=_me_?--a   value=1
key=tailor   value=7
key=better,"   value=1
key=speaks   value=1
key="Beggin'   value=1
key=pardon   value=2
key=commander;   value=1
key=enjoyin'   value=1
key='protection'   value=1
key=Fine   value=1
key=fellows,   value=3
key=too!   value=1
key="Why   value=2
key=suspicious-like.   value=1
key=affair,"   value=1
key=nibbled.   value=1
key=asking   value=3
key=poorer."   value=1
key="Off   value=1
key=has:   value=1
key=escape   value=2
key=soberest   value=1
key="'_HANCOCK--TAILOR_,'"   value=1
key=aloud,   value=3
key=stepping   value=3
key=again----"   value=2
key=askin'   value=1
key=Sir"   value=1
key=ugly   value=3
key=duty   value=1
key=information,   value=1
key=threat   value=11
key=uncomfortable:   value=1
key=sailors,   value=1
key=discovered   value=4
key=press--unpopular   value=1
key=times--would   value=1
key=gulp   value=1
key=bench;   value=1
key=safe   value=12
key=quits:   value=1
key=lonely   value=1
key=wasn't   value=4
key=swelling   value=1
key=barm.[2]   value=1
key=bite   value=2
key=blew   value=4
key=headed   value=3
key=Barm=yeast.]   value=1
key=bar-room   value=1
key=crowded,   value=2
key=throng   value=1
key=all-sorts.   value=1
key=drinkers   value=1
key=pockets:   value=1
key=subject.   value=1
key=Ann,   value=1
key=winked   value=2
key=cunning.   value=1
key=dreadfully   value=2
key=blow   value=10
key=mutiny!"   value=1
key=careless-like,   value=1
key=attention.   value=1
key=stow   value=1
key=else   value=7
key=about;   value=1
key=responsible,   value=1
key=darned   value=1
key=Eve.   value=1
key=happened."   value=2
key=monkey-fellow,   value=1
key=crossing   value=3
key=about?   value=2
key=know?"   value=1
key=Treleaven.   value=2
key=there!   value=1
key=shaped   value=1
key=interest   value=3
key=press-gangs,   value=1
key=reckon."   value=2
key=sure,"   value=4
key=man--but   value=1
key=winced   value=1
key=happens,   value=4
key=change   value=9
key=Hancock;   value=2
key=drinking   value=2
key=thick.   value=1
key=resource   value=1
key=different:   value=1
key=dressing   value=2
key=man-fashion:   value=1
key=house?   value=1
key='The   value=2
key=come,'   value=1
key=has.   value=1
key=Treleaven,   value=3
key=standing   value=16
key="you   value=7
key=far,   value=1
key=crying   value=2
key=pillaloo   value=1
key=outside;   value=1
key=knock,   value=1
key=runs   value=2
key=sheet--Sam   value=1
key=Hockaday's   value=3
key=Oke--Mr.   value=1
key=Oke,   value=2
key=whatever   value=11
key=quay-door.   value=1
key=ruined   value=3
key=mouths   value=1
key=somehow;   value=1
key=Pengelly   value=5
key="Where's   value=1
key=joker,   value=1
key=am,"   value=1
key=breeches-pocket,   value=1
key=ship?"   value=2
key=yourself?"   value=1
key="There's   value=6
key=atween   value=1
key=catching   value=7
key=anchor   value=3
key=ran,   value=2
key=frape,   value=1
key=shore,   value=2
key=Half-a-dozen   value=1
key=seized   value=1
key=crouched   value=3
key=Voices   value=1
key=sang   value=1
key=manner   value=3
key=press-boat   value=1
key=taken,   value=1
key=sick   value=4
key=dream.   value=2
key=thinnest   value=1
key=clothes;   value=1
key=damp   value=4
key=captain,   value=1
key="Ship,   value=1
key=ahoy!"   value=1
key=shouted,   value=3
key=water.   value=3
key=Ship!"   value=1
key=marine   value=3
key=watch,   value=4
key="Boat-load   value=1
key=stern,   value=1
key="Empty   value=1
key=compliments,   value=1
key=saluted,   value=1
key=hunted   value=3
key=slop-bucket,   value=1
key=message.   value=1
key=guard-ship,"   value=1
key=guard-ship?"   value=1
key=scratching   value=1
key=Everyone   value=1
key=sou'-west,   value=1
key=squall   value=1
key=rain   value=4
key=wobble   value=1
key=astray   value=1
key=sentry   value=1
key=challenged   value=3
key=musket   value=5
key=bulwarks   value=1
key=Regatta,   value=1
key=threatened   value=14
key=foul   value=1
key=glad   value=5
key=through,   value=4
key=nigh   value=6
key=bodies   value=4
key=tumble   value=1
key=oar;   value=1
key=weakness   value=12
key=hat,   value=3
key=hiding   value=2
key=stars--and   value=1
key=bottom-boards.   value=1
key=groaned,   value=1
key=comes!   value=1
key=Island   value=1
key=tidy   value=3
key=south'ard,   value=1
key=forlorn.   value=1
key=lives.   value=2
key=anchored   value=1
key=die,   value=1
key=answer   value=24
key=sea.   value=4
key=sunshine   value=3
key=weighing   value=1
key=topgallant   value=1
key=cant   value=1
key=capstan,   value=1
key=officers   value=8
key=pacing   value=1
key=aboard   value=3
key=stern-sheets   value=1
key=might.   value=3
key=chance   value=27
key=heard;   value=1
key=handed   value=4
key=motionless   value=1
key="Seems   value=1
key=a'most   value=2
key=somebody,"   value=1
key=hopefulness:   value=1
key=look!"   value=1
key=tender!"   value=1
key=Bovisand   value=1
key=cutter   value=1
key=tops'l   value=2
key=stress   value=4
key=distant,   value=1
key=bows   value=1
key=frigate.   value=1
key="Use   value=1
key=eyes!"   value=1
key=soul   value=7
key=forward,   value=8
key=thwarts,   value=1
key=up!"   value=1
key=ordered,   value=1
key=creature   value=1
key=egg.   value=1
key=lives,   value=1
key=boys,"   value=1
key=alongside,   value=3
key=uncovering   value=1
key=hatches.   value=1
key=overside   value=1
key=tender's   value=2
key=somebody   value=2
key=hatchway   value=2
key=coaming,   value=1
key="Sally!"   value=1
key=screamed   value=3
key=gig.   value=1
key=sight,   value=2
key=And,   value=6
key=salutes,   value=1
key=wife!"   value=1
key=yelled   value=5
key=Hancock.   value=1
key=mine!"   value=3
key=jail-delivery;   value=1
key=laugh,   value=3
key=unplaiting   value=1
key=pigtail.   value=1
key=addressing   value=8
key=_Ranger_   value=1
key=frigate,   value=1
key=Captain.   value=1
key=fashion:   value=1
key=law,   value=1
key=sea,   value=1
key=complaints   value=2
key=cut'em   value=1
key=except   value=13
key=born   value=6
key=yonder   value=2
key=fault,   value=1
key=back-hair.   value=1
key=Rogers,"   value=1
key=appear   value=3
key=sheet:   value=1
key=sorrow,"   value=1
key=reckon,"   value=1
key=punishment   value=1
key=discover   value=5
key=grateful   value=1
key=soothing   value=2
key=painting   value=1
key=water-colours.   value=1
key=preached   value=2
key=behalf   value=1
key=cheerfully   value=3
key=practised.   value=1
key=bough,   value=1
key=thicket,   value=1
key=10th   value=2
key=day--while   value=1
key=church   value=15
key=writings   value=1
key=scutcheons   value=2
key=colours,   value=2
key=consider   value=10
key=years:   value=1
key=content,   value=1
key=promoted   value=2
key=horse;   value=1
key=monuments,   value=1
key=(being   value=1
key=lethargic)   value=1
key=journey,   value=1
key=fret   value=1
key=drilling   value=1
key=August   value=1
key=Tamar,   value=1
key=Earl   value=5
key=forces   value=21
key=closer   value=1
key=Fowey;   value=1
key=where,   value=3
key=harbour,   value=1
key=victuals   value=1
key=surprising   value=1
key=fort   value=1
key=entry,   value=1
key=pent   value=1
key=needs.   value=2
key=campaign   value=1
key=believe,   value=5
key=bringing   value=11
key=terms.   value=1
key=Many   value=6
key=trumpet;   value=1
key=camp   value=5
key=Boconnoc   value=1
key=save   value=12
key=horse.   value=1
key=duties   value=1
key=leisure,   value=1
key=paints   value=1
key=familiar   value=4
key=toys   value=1
key=shelf.   value=2
key=others,"   value=1
key=forgetting   value=1
key=distractions   value=1
key=England,   value=2
key="let   value=1
key=famous   value=3
key=a-copying,   value=1
key=Mohuns   value=3
key=Dunster,   value=2
key=family   value=9
key=day.   value=1
key=Mohun,   value=4
key=viel   value=1
key=avec   value=1
key=li   value=1
key=rhyme,   value=1
key=monument   value=1
key=(where   value=3
key=began)   value=1
key=coat   value=12
key=France   value=1
key=label,   value=1
key=impaling   value=2
key=_or_   value=3
key=Mohuns--this   value=1
key=Philippa   value=1
key=Duke   value=1
key=Agincourt:   value=1
key=torteaux   value=1
key=Bevill   value=1
key=Redvers,   value=1
key=_vert_   value=1
key=bucks'   value=1
key=_gules_.   value=1
key=East   value=2
key=claims   value=2
key=shield   value=1
key=device   value=3
key=sinister   value=1
key=Redvers;   value=1
key=dexter   value=1
key=quarterly:   value=1
key=_Vert_   value=1
key=stags'   value=1
key=bendlets   value=1
key=(FitzWilliam);   value=1
key=painted,   value=1
key=churchyard   value=9
key=outside,   value=3
key=scything   value=1
key=grave;   value=1
key=hind   value=1
key=shoulders--nor   value=1
key=clothing   value=1
key=spoke,   value=1
key=timidly,   value=1
key=elbow.   value=1
key="Sir,"   value=2
key=gentle   value=2
key=birth,   value=2
key=gladly   value=1
key=coats-of-arms.   value=1
key=met,   value=1
key=avoiding   value=2
key=patient.   value=1
key=belong   value=5
key=stranger   value=1
key='Amen.'"   value=1
key=Said   value=1
key="Maybe   value=1
key=grasping   value=2
key=fleur-de-lys."   value=1
key="Willingly,"   value=2
key=engrailed.   value=1
key=grasps   value=1
key=Reginald   value=2
key=entirely   value=4
key=Somerset   value=1
key=fifty.   value=1
key=consecrated,   value=1
key=Lyons,   value=1
key=charters   value=1
key=confirmed,   value=1
key=Pope's   value=2
key=_Laetare   value=1
key=court.   value=1
key=Pope   value=2
key=rank   value=8
key=England.   value=1
key='a   value=1
key=Knight   value=72
key=bachelor.'   value=1
key=pence;   value=1
key=arms."   value=2
key=parts?   value=1
key=Scrope?"   value=1
key="Neither,"   value=1
key=mine."   value=1
key="Yours?"   value=1
key=cried,   value=4
key=manners.   value=2
key=Scrope   value=3
key="Any   value=3
key=Carminowe,   value=7
key=claimant,"   value=1
key=Carminowe:   value=1
key=perished."   value=1
key=rerum_,"   value=1
key=all;   value=1
key=lingers,   value=1
key=Troop,   value=1
key=fighting   value=6
key=Your   value=8
key=occupation   value=1
key=proves   value=2
key=am."   value=1
key=King's   value=56
key=loyalty;   value=1
key=perils   value=1
key=judgment   value=3
key=fits   value=2
key=grow   value=2
key=life.--You   value=1
key=I;   value=3
key=correctly.   value=1
key=currents   value=1
key=nature   value=6
key=channel;   value=1
key=strife   value=2
key=countermarched   value=1
key=for--how   value=1
key=long?--two   value=1
key=period   value=1
key=thoughtful   value=1
key=death.   value=2
key=rode   value=7
key=persuasion   value=2
key=Majesty.   value=1
key=guess;   value=1
key=observed   value=2
key=army   value=6
key=natures--the   value=1
key=picquering   value=1
key=bravado,   value=1
key=hot;   value=1
key=plunder;   value=1
key=craftier   value=1
key=insanely   value=1
key=Grenville,   value=1
key=warfare,   value=1
key=jot.   value=1
key=Sir--I   value=1
key=grooming."   value=1
key=hand,"   value=1
key=strict   value=3
key=punctual   value=1
key=savour   value=1
key=treasure   value=5
key=also."   value=1
key=lurked   value=1
key=nettle   value=1
key=words,   value=6
key=lie,   value=1
key=declining,   value=1
key=warm   value=2
key=belted   value=1
key=ringed   value=1
key=seas   value=1
key=Carminowe's.   value=1
key=treasure,"   value=1
key=turf   value=2
key=only,"   value=1
key=pointed;   value=1
key=grave.   value=1
key=son;   value=1
key=But,   value=13
key=comfort,   value=1
key=lustily;   value=1
key=Digby,   value=3
key=reined   value=2
key=favour   value=6
key=ask,   value=3
key=ridden   value=6
key=Read   value=1
key=ride   value=2
key=untethered   value=1
key=horse,   value=5
key=ridge.   value=1
key=appearance   value=3
key=riders   value=1
key=challenge:   value=1
key=answer."   value=1
key=Straughan,   value=1
key=Parliament   value=3
key=combat   value=1
key=cavalry,   value=2
key=side--in   value=1
key=carrying   value=3
key=pistol   value=6
key=sword.   value=1
key=braggart   value=1
key=nonsense?"   value=1
key=palm   value=3
key=foe,   value=1
key=mockingly.   value=1
key=wind,"   value=1
key=Earl's   value=1
key=letter."   value=1
key=returned   value=3
key=latest   value=1
key=treat,   value=1
key=breach   value=1
key=vanity."   value=1
key="Then,   value=3
key=cool   value=5
key=shirts."   value=1
key=luck   value=5
key=dictated   value=1
key=effect   value=6
key=answer?"   value=3
key=Israel   value=1
key='Let   value=1
key=us.'   value=1
key="Nay,"   value=3
key=grunted,   value=1
key=hot-headed   value=1
key=stirrup.   value=1
key=moreover   value=1
key=mixt   value=1
key=folly!   value=1
key=forwards   value=1
key=life's   value=1
key=defend?"   value=1
key=bloods   value=1
key=later)   value=1
key=stipulated   value=1
key=angered,   value=1
key=sought   value=5
key=exalts   value=1
key=habits   value=1
key=steadiness   value=1
key=desire   value=2
key=approbation,   value=1
key=ago,   value=2
key=enlisted   value=1
key=crown;   value=1
key=silently   value=2
key=hitherto   value=1
key=military   value=5
key=curtly   value=1
key=sourly   value=1
key=Wyvern,"   value=1
key=expressly.   value=1
key=biting   value=1
key=mustachios   value=1
key=on."   value=1
key=opposing   value=14
key=between.   value=1
key=harangue   value=1
key=troopers   value=5
key=trumpets   value=1
key=paper-chase.   value=1
key=yards'   value=1
key=pistols,   value=2
key=wildfire   value=1
key=seasoned   value=1
key=old.   value=1
key=shock:   value=2
key=flies,   value=2
key=under;   value=1
key=way.   value=11
key=unsaddle   value=1
key=wheeling   value=1
key=instant,   value=2
key=encountered,   value=1
key=bullet   value=3
key=stunned;   value=1
key=Kings,   value=2
key=sport;   value=1
key=valley   value=6
key=commodious   value=1
key=mob.   value=1
key=stands   value=7
key=spends   value=1
key=Hall   value=1
key=Stannary   value=1
key=prison   value=3
key=laws   value=16
key=Bartholomew;   value=1
key=suppose)   value=2
key=hazard   value=1
key=war.   value=1
key=description.   value=1
key=Also   value=4
key=font   value=1
key=christened   value=1
key=Charles--a   value=1
key=insult   value=2
key=fairness   value=1
key=grooming   value=1
key=Over   value=1
key=fared,   value=1
key=nay,   value=1
key=pen,   value=1
key=ink,   value=1
key=unfortunates   value=1
key=Humphrey   value=1
key=Grylls   value=8
key=(but   value=1
key="Jack"   value=1
key=everyone).   value=1
key=hurts:   value=1
key=shot   value=9
key=slight   value=6
key=bruise   value=1
key=swam   value=1
key=suffered   value=6
key=frequent   value=3
key=fellows;   value=1
key=cards,   value=1
key=Provost-Marshal,   value=2
key=month,   value=1
key=rebels   value=4
key=intended   value=8
key=Astley's   value=1
key=supplies   value=1
key=sea;   value=1
key=push   value=1
key=posts,   value=1
key=delayed.   value=2
key=myself   value=16
key=chronogramma   value=2
key=it--   value=1
key=_VIVat   value=1
key=reX,   value=1
key=esseXIVs   value=1
key=DIssIpatVr._   value=1
key=English,   value=1
key=rout."   value=1
key=other--you   value=1
key=Domini   value=1
key=_MDC   value=1
key=hundred_   value=1
key=_XXVVVV,   value=1
key=forty_   value=1
key=_the   value=8
key=total_   value=1
key=_IIII,   value=1
key=private,   value=1
key=toys--on   value=1
key=ladder   value=11
key=belfry   value=7
key=soldiers   value=8
key=unbound--for   value=1
key=him--and   value=1
key=bade   value=2
key=say;   value=2
key=eyes--then   value=1
key=Carminowe.   value=2
key=over-delicate;   value=1
key=ill-luck,"   value=1
key=_you_,   value=1
key=Sir--and   value=1
key=Trecarrel,   value=4
key=explaining   value=1
key=lucidly.   value=1
key=lived,   value=1
key=growing,   value=1
key=mettle."   value=1
key=companions--as   value=1
key=me,"   value=4
key=fashion,   value=2
key=acquaintances.   value=1
key=yours,   value=1
key="Carminowe?"   value=1
key=parchments   value=2
key=estates,   value=2
key=worthier   value=1
key=Grylls."   value=1
key=handsomely   value=2
key=said!"   value=1
key=perceiving   value=1
key=dress,   value=2
key=scandal)   value=1
key=hope?--though,   value=1
key=prevail,   value=1
key=bout,"   value=1
key=Fowey,   value=2
key=provisions   value=2
key=planning   value=1
key=surrender,   value=1
key=think,   value=6
key=enlarged."   value=1
key=assurance,   value=1
key=pannikin   value=1
key=pail   value=1
key=combatant:   value=1
key=hang   value=5
key=crust.   value=2
key=explanation,   value=1
key=jaws   value=1
key=finger   value=6
key=surely,"   value=1
key="since   value=1
key=spy,   value=1
key="Lord,   value=1
key=Sirs!"   value=1
key=estate   value=4
key=slew   value=1
key=Braddock   value=1
key=motto,   value=1
key=Sir?   value=2
key=_Generis   value=1
key=not?   value=1
key=fairer   value=1
key=bitterness   value=2
key=death;   value=1
key=fate--goes   value=1
key=hanged   value=1
key=finished   value=2
key=assure   value=7
key=gloomily   value=1
key=suddenly   value=9
key=laugh.   value=5
key=Carminowe!   value=1
key=gods."   value=1
key=meaning.   value=1
key=depend   value=1
key=that."   value=3
key=brings   value=12
key=here,"   value=4
key=road   value=17
key=bank   value=4
key=north-east   value=3
key=downs?   value=1
key=cottage.   value=1
key=Goring   value=1
key=fields   value=2
key=posted   value=23
key=picket   value=1
key=cottage,   value=3
key=ramble   value=1
key=sunset   value=2
key=sentries),   value=1
key=empty.   value=2
key=stood,   value=4
key=puzzling   value=1
key=hedges   value=1
key=picquet,   value=1
key=still:   value=1
key=silent   value=1
key=sold   value=1
key=traitor;   value=1
key=messenger.   value=1
key=naming   value=1
key=not:   value=1
key=dumbfoundered,   value=1
key=run:   value=1
key=trice,   value=1
